Time / s	
0.4	0.173609
0.8	0.173623
1.2	0.173623
1.6	0.173617
2	0.1736
2.4	0.173607
2.8	0.173573
3.2	0.17357
3.6	0.173809
4	0.1738
4.4	0.173785
4.8	0.173755
5.2	0.17373
5.6	0.173679
6	0.173686
6.4	0.173566
6.8	0.173652
7.2	0.173642
7.6	0.173675
8	0.173644
8.4	0.173635
8.8	0.17364
9.2	0.173656
9.6	0.173523
10	0.173623
10.4	0.173557
10.8	0.173571
11.2	0.173575
11.6	0.173576
12	0.173567
12.4	0.173534
12.8	0.173517
13.2	0.173546
13.6	0.173519
14	0.173543
14.4	0.173472
14.8	0.173329
15.2	0.17342
15.6	0.173431
16	0.173511
16.4	0.173472
16.8	0.173494
17.2	0.173473
17.6	0.173488
18	0.173429
18.4	0.173454
18.8	0.173498
19.2	0.173459
19.6	0.173372
20	0.173456
20.4	0.173423
20.8	0.173425
21.2	0.173401
21.6	0.173654
22	0.17446
22.4	0.174384
22.8	0.173513
23.2	0.173441
23.6	0.173796
24	0.173367
24.4	0.173341
24.8	0.173331
25.2	0.173329
25.6	0.17332
26	0.173334
26.4	0.173308
26.8	0.17331
27.2	0.173295
27.6	0.173305
28	0.173294
28.4	0.173291
28.8	0.17331
29.2	0.173297
29.6	0.1731
30	0.17325
30.4	0.173163
30.8	0.173268
31.2	0.173236
31.6	0.173281
32	0.173326
32.4	0.173209
32.8	0.173109
33.2	0.17287
33.6	0.172945
34	0.172942
34.4	0.172893
34.8	0.172925
35.2	0.172999
35.6	0.173173
36	0.173188
36.4	0.172926
36.8	0.172903
37.2	0.173143
37.6	0.173175
38	0.172989
38.4	0.172986
38.8	0.173119
39.2	0.173073
39.6	0.173085
40	0.172774
40.4	0.173023
40.8	0.173028
41.2	0.172801
41.6	0.172792
42	0.173085
42.4	0.172941
42.8	0.172962
43.2	0.172964
43.6	0.17276
44	0.17299
44.4	0.172796
44.8	0.172828
45.2	0.17292
45.6	0.172727
46	0.172964
46.4	0.17282
46.8	0.172731
47.2	0.173009
47.6	0.172664
48	0.172759
48.4	0.172798
48.8	0.172683
49.2	0.172907
49.6	0.172665
50	0.172743
50.4	0.172818
50.8	0.172648
51.2	0.172895
51.6	0.172672
52	0.17275
52.4	0.172902
52.8	0.172592
53.2	0.172717
53.6	0.172732
54	0.172599
54.4	0.172891
54.8	0.172599
55.2	0.172652
55.6	0.172724
56	0.172527
56.4	0.172624
56.8	0.172695
57.2	0.172531
57.6	0.172836
58	0.17256
58.4	0.172586
58.8	0.17283
59.2	0.172472
59.6	0.172895
60	0.172643
60.4	0.173261
60.8	0.172407
61.2	0.172296
61.6	0.17231
62	0.172312
62.4	0.172296
62.8	0.172306
63.2	0.172283
63.6	0.172246
64	0.172241
64.4	0.172149
64.8	0.172187
65.2	0.172305
65.6	0.17223
66	0.17225
66.4	0.172241
66.8	0.172209
67.2	0.172182
67.6	0.1722
68	0.172175
68.4	0.172161
68.8	0.172248
69.2	0.172201
69.6	0.17242
70	0.172219
70.4	0.172273
70.8	0.172451
71.2	0.172383
71.6	0.172182
72	0.172358
